Herring, PRDC_BASE: 0.557813, RECOMPRESSION: 0.526563, ORIGINAL_NMD: 0.46875, WEIGHTING_NMD: 0.46875
DiatomSizeReduction, ERROR, ORIGINAL_NMD: 0.905229, WEIGHTING_NMD: 0.859477
ECG200, PRDC_BASE: 0.602, RECOMPRESSION: 0.631, ORIGINAL_NMD: 0.75, WEIGHTING_NMD: 0.78
PhalangesOutlinesCorrect, PRDC_BASE: 0.598019, RECOMPRESSION: 0.581119, ORIGINAL_NMD: 0.641026, WEIGHTING_NMD: 0.662005
ShapeletSim, PRDC_BASE: 0.562222, RECOMPRESSION: 0.543333, ORIGINAL_NMD: 0.661111, WEIGHTING_NMD: 0.7
Trace, PRDC_BASE: 0.79, RECOMPRESSION: 0.831, ORIGINAL_NMD: 0.89, WEIGHTING_NMD: 0.83
ElectricDevices, PRDC_BASE: 0.553923, RECOMPRESSION: 0.620555, ORIGINAL_NMD: 0.657373, WEIGHTING_NMD: 0.648684
LargeKitchenAppliances, PRDC_BASE: 0.650133, RECOMPRESSION: 0.613867, ORIGINAL_NMD: 0.752, WEIGHTING_NMD: 0.746667
SonyAIBORobotSurface, PRDC_BASE: 0.514476, RECOMPRESSION: 0.485191, ORIGINAL_NMD: 0.628952, WEIGHTING_NMD: 0.630616
MiddlePhalanxTW, PRDC_BASE: 0.545865, RECOMPRESSION: 0.545865, ORIGINAL_NMD: 0.568922, WEIGHTING_NMD: 0.593985
uWaveGestureLibrary_Y, PRDC_BASE: 0.330821, RECOMPRESSION: 0.348325, ORIGINAL_NMD: 0.410944, WEIGHTING_NMD: 0.420156
InlineSkate, PRDC_BASE: 0.302909, RECOMPRESSION: 0.296545, ORIGINAL_NMD: 0.350909, WEIGHTING_NMD: 0.345455
CBF, PRDC_BASE: 0.608778, RECOMPRESSION: 0.637556, ORIGINAL_NMD: 0.66, WEIGHTING_NMD: 0.638889
Strawberry, PRDC_BASE: 0.711582, RECOMPRESSION: 0.738499, ORIGINAL_NMD: 0.911909, WEIGHTING_NMD: 0.898858
Adiac, PRDC_BASE: 0.469821, RECOMPRESSION: 0.440409, ORIGINAL_NMD: 0.355499, WEIGHTING_NMD: 0.337596
uWaveGestureLibrary_X, PRDC_BASE: 0.369486, RECOMPRESSION: 0.408878, ORIGINAL_NMD: 0.506979, WEIGHTING_NMD: 0.4933
Wine, PRDC_BASE: 0.511111, RECOMPRESSION: 0.548148, ORIGINAL_NMD: 0.5, WEIGHTING_NMD: 0.481481
FISH, PRDC_BASE: 0.258857, RECOMPRESSION: 0.258857, ORIGINAL_NMD: 0.582857, WEIGHTING_NMD: 0.628571
FordB, PRDC_BASE: 0.621892, RECOMPRESSION: 0.633801, ORIGINAL_NMD: 0.523377, WEIGHTING_NMD: 0.518977
UWaveGestureLibraryAll, PRDC_BASE: 0.306672, RECOMPRESSION: 0.342267, ORIGINAL_NMD: 0.451982, WEIGHTING_NMD: 0.451145
ArrowHead, PRDC_BASE: 0.538286, RECOMPRESSION: 0.530286, ORIGINAL_NMD: 0.577143, WEIGHTING_NMD: 0.605714
FordA, PRDC_BASE: 0.6203, RECOMPRESSION: 0.647237, ORIGINAL_NMD: 0.549014, WEIGHTING_NMD: 0.543182
Worms, PRDC_BASE: 0.430939, RECOMPRESSION: 0.450829, ORIGINAL_NMD: 0.519337, WEIGHTING_NMD: 0.530387
RefrigerationDevices, PRDC_BASE: 0.437333, RECOMPRESSION: 0.470133, ORIGINAL_NMD: 0.522667, WEIGHTING_NMD: 0.512
ShapesAll, PRDC_BASE: 0.662333, RECOMPRESSION: 0.6395, ORIGINAL_NMD: 0.633333, WEIGHTING_NMD: 0.64
OliveOil, PRDC_BASE: 0.703333, RECOMPRESSION: 0.63, ORIGINAL_NMD: 0.7, WEIGHTING_NMD: 0.766667
wafer, PRDC_BASE: 0.951038, RECOMPRESSION: 0.964066, ORIGINAL_NMD: 0.977612, WEIGHTING_NMD: 0.97891
MALLAT, ERROR, ORIGINAL_NMD: 0.834968, WEIGHTING_NMD: 0.814499
SwedishLeaf, PRDC_BASE: 0.5976, RECOMPRESSION: 0.61504, ORIGINAL_NMD: 0.5424, WEIGHTING_NMD: 0.5696
ItalyPowerDemand, PRDC_BASE: 0.578231, RECOMPRESSION: 0.583868, ORIGINAL_NMD: 0.695821, WEIGHTING_NMD: 0.693878
Phoneme, ERROR, ORIGINAL_NMD: 0.206224, WEIGHTING_NMD: 0.226266
ScreenType, PRDC_BASE: 0.391467, RECOMPRESSION: 0.4184, ORIGINAL_NMD: 0.464, WEIGHTING_NMD: 0.44
Lighting2, PRDC_BASE: 0.74918, RECOMPRESSION: 0.770492, ORIGINAL_NMD: 0.770492, WEIGHTING_NMD: 0.803279
HandOutlines, PRDC_BASE: 0.5972, RECOMPRESSION: 0.583, ORIGINAL_NMD: 0.674, WEIGHTING_NMD: 0.693
ToeSegmentation2, PRDC_BASE: 0.697692, RECOMPRESSION: 0.723077, ORIGINAL_NMD: 0.830769, WEIGHTING_NMD: 0.823077
CinC_ECG_torso, PRDC_BASE: 0.489348, RECOMPRESSION: 0.601739, ORIGINAL_NMD: 0.636232, WEIGHTING_NMD: 0.617391
MedicalImages, PRDC_BASE: 0.511053, RECOMPRESSION: 0.521579, ORIGINAL_NMD: 0.536842, WEIGHTING_NMD: 0.535526
synthetic_control, PRDC_BASE: 0.227333, RECOMPRESSION: 0.235667, ORIGINAL_NMD: 0.283333, WEIGHTING_NMD: 0.3
OSULeaf, PRDC_BASE: 0.493802, RECOMPRESSION: 0.517769, ORIGINAL_NMD: 0.553719, WEIGHTING_NMD: 0.516529
BeetleFly, PRDC_BASE: 0.72, RECOMPRESSION: 0.62, ORIGINAL_NMD: 0.95, WEIGHTING_NMD: 0.95
FaceAll, PRDC_BASE: 0.253728, RECOMPRESSION: 0.26574, ORIGINAL_NMD: 0.295858, WEIGHTING_NMD: 0.302959
50words, ERROR, ORIGINAL_NMD: 0.336264, WEIGHTING_NMD: 0.378022
ProximalPhalanxTW, ERROR, ORIGINAL_NMD: 0.685, WEIGHTING_NMD: 0.6875
