Herring, PRDC_BASE: 0.503125, RECOMPRESSION: 0.501563, ORIGINAL_NMD: 0.484375, WEIGHTING_NMD: 0.46875
DiatomSizeReduction, ERROR, ORIGINAL_NMD: 0.816993, WEIGHTING_NMD: 0.797386
ECG200, PRDC_BASE: 0.587, RECOMPRESSION: 0.613, ORIGINAL_NMD: 0.64, WEIGHTING_NMD: 0.64
PhalangesOutlinesCorrect, PRDC_BASE: 0.590909, RECOMPRESSION: 0.562354, ORIGINAL_NMD: 0.636364, WEIGHTING_NMD: 0.655012
ShapeletSim, PRDC_BASE: 0.539444, RECOMPRESSION: 0.537778, ORIGINAL_NMD: 0.688889, WEIGHTING_NMD: 0.705556
Trace, PRDC_BASE: 0.805, RECOMPRESSION: 0.83, ORIGINAL_NMD: 0.85, WEIGHTING_NMD: 0.83
ElectricDevices, PRDC_BASE: 0.477357, RECOMPRESSION: 0.59183, ORIGINAL_NMD: 0.643626, WEIGHTING_NMD: 0.631176
LargeKitchenAppliances, PRDC_BASE: 0.665867, RECOMPRESSION: 0.597333, ORIGINAL_NMD: 0.741333, WEIGHTING_NMD: 0.709333
SonyAIBORobotSurface, PRDC_BASE: 0.503328, RECOMPRESSION: 0.486522, ORIGINAL_NMD: 0.567388, WEIGHTING_NMD: 0.577371
MiddlePhalanxTW, PRDC_BASE: 0.521303, RECOMPRESSION: 0.550125, ORIGINAL_NMD: 0.556391, WEIGHTING_NMD: 0.568922
uWaveGestureLibrary_Y, PRDC_BASE: 0.335092, RECOMPRESSION: 0.379397, ORIGINAL_NMD: 0.45952, WEIGHTING_NMD: 0.464266
InlineSkate, PRDC_BASE: 0.299091, RECOMPRESSION: 0.318182, ORIGINAL_NMD: 0.376364, WEIGHTING_NMD: 0.327273
CBF, PRDC_BASE: 0.553, RECOMPRESSION: 0.581222, ORIGINAL_NMD: 0.614444, WEIGHTING_NMD: 0.62
Strawberry, PRDC_BASE: 0.701631, RECOMPRESSION: 0.7354, ORIGINAL_NMD: 0.911909, WEIGHTING_NMD: 0.916803
Adiac, PRDC_BASE: 0.455754, RECOMPRESSION: 0.426598, ORIGINAL_NMD: 0.421995, WEIGHTING_NMD: 0.429668
uWaveGestureLibrary_X, PRDC_BASE: 0.390201, RECOMPRESSION: 0.438861, ORIGINAL_NMD: 0.546064, WEIGHTING_NMD: 0.537688
Wine, PRDC_BASE: 0.475926, RECOMPRESSION: 0.551852, ORIGINAL_NMD: 0.555556, WEIGHTING_NMD: 0.537037
FISH, PRDC_BASE: 0.362286, RECOMPRESSION: 0.329143, ORIGINAL_NMD: 0.605714, WEIGHTING_NMD: 0.605714
FordB, PRDC_BASE: 0.583718, RECOMPRESSION: 0.60275, ORIGINAL_NMD: 0.510176, WEIGHTING_NMD: 0.505501
UWaveGestureLibraryAll, PRDC_BASE: 0.312563, RECOMPRESSION: 0.352122, ORIGINAL_NMD: 0.484366, WEIGHTING_NMD: 0.488275
ArrowHead, PRDC_BASE: 0.515429, RECOMPRESSION: 0.542857, ORIGINAL_NMD: 0.56, WEIGHTING_NMD: 0.565714
FordA, PRDC_BASE: 0.579839, RECOMPRESSION: 0.612024, ORIGINAL_NMD: 0.492641, WEIGHTING_NMD: 0.490697
Worms, PRDC_BASE: 0.425967, RECOMPRESSION: 0.443094, ORIGINAL_NMD: 0.535912, WEIGHTING_NMD: 0.546961
RefrigerationDevices, PRDC_BASE: 0.448, RECOMPRESSION: 0.477067, ORIGINAL_NMD: 0.517333, WEIGHTING_NMD: 0.52
ShapesAll, PRDC_BASE: 0.674, RECOMPRESSION: 0.642167, ORIGINAL_NMD: 0.533333, WEIGHTING_NMD: 0.551667
OliveOil, PRDC_BASE: 0.733333, RECOMPRESSION: 0.726667, ORIGINAL_NMD: 0.833333, WEIGHTING_NMD: 0.766667
wafer, PRDC_BASE: 0.930078, RECOMPRESSION: 0.960642, ORIGINAL_NMD: 0.981992, WEIGHTING_NMD: 0.98037
MALLAT, ERROR, ORIGINAL_NMD: 0.806823, WEIGHTING_NMD: 0.794456
SwedishLeaf, PRDC_BASE: 0.52048, RECOMPRESSION: 0.52416, ORIGINAL_NMD: 0.5136, WEIGHTING_NMD: 0.5152
ItalyPowerDemand, PRDC_BASE: 0.509718, RECOMPRESSION: 0.529446, ORIGINAL_NMD: 0.632653, WEIGHTING_NMD: 0.66861
Phoneme, ERROR, ORIGINAL_NMD: 0.200422, WEIGHTING_NMD: 0.211498
ScreenType, PRDC_BASE: 0.44, RECOMPRESSION: 0.4704, ORIGINAL_NMD: 0.504, WEIGHTING_NMD: 0.538667
Lighting2, PRDC_BASE: 0.72459, RECOMPRESSION: 0.704918, ORIGINAL_NMD: 0.721311, WEIGHTING_NMD: 0.721311
HandOutlines, PRDC_BASE: 0.6298, RECOMPRESSION: 0.6091, ORIGINAL_NMD: 0.699, WEIGHTING_NMD: 0.693
ToeSegmentation2, PRDC_BASE: 0.654615, RECOMPRESSION: 0.671538, ORIGINAL_NMD: 0.7, WEIGHTING_NMD: 0.676923
CinC_ECG_torso, PRDC_BASE: 0.480942, RECOMPRESSION: 0.589638, ORIGINAL_NMD: 0.66087, WEIGHTING_NMD: 0.667391
MedicalImages, PRDC_BASE: 0.515, RECOMPRESSION: 0.524211, ORIGINAL_NMD: 0.523684, WEIGHTING_NMD: 0.521053
synthetic_control, PRDC_BASE: 0.180333, RECOMPRESSION: 0.183, ORIGINAL_NMD: 0.23, WEIGHTING_NMD: 0.226667
OSULeaf, PRDC_BASE: 0.468595, RECOMPRESSION: 0.510744, ORIGINAL_NMD: 0.487603, WEIGHTING_NMD: 0.533058
BeetleFly, PRDC_BASE: 0.57, RECOMPRESSION: 0.595, ORIGINAL_NMD: 0.75, WEIGHTING_NMD: 0.75
FaceAll, PRDC_BASE: 0.206923, RECOMPRESSION: 0.20432, ORIGINAL_NMD: 0.192899, WEIGHTING_NMD: 0.190533
50words, ERROR, ORIGINAL_NMD: 0.283516, WEIGHTING_NMD: 0.292308
ProximalPhalanxTW, ERROR, ORIGINAL_NMD: 0.7125, WEIGHTING_NMD: 0.7325
