StarLightCurves, PRDC_BASE: 0.837955, RECOMPRESSION: 0.872863, ORIGINAL_NMD: 0.847863, WEIGHTING_NMD: 0.853813
Meat, PRDC_BASE: 0.545, RECOMPRESSION: 0.491667, ORIGINAL_NMD: 0.783333, WEIGHTING_NMD: 0.766667
FacesUCR, PRDC_BASE: 0.384488, RECOMPRESSION: 0.347902, ORIGINAL_NMD: 0.434634, WEIGHTING_NMD: 0.447805
NonInvasiveFatalECG_Thorax1, PRDC_BASE: 0.431247, RECOMPRESSION: 0.42855, ORIGINAL_NMD: 0.476845, WEIGHTING_NMD: 0.479898
WormsTwoClass, PRDC_BASE: 0.559669, RECOMPRESSION: 0.576796, ORIGINAL_NMD: 0.640884, WEIGHTING_NMD: 0.657459
MiddlePhalanxOutlineAgeGroup, PRDC_BASE: 0.70475, RECOMPRESSION: 0.73175, ORIGINAL_NMD: 0.7075, WEIGHTING_NMD: 0.7175
NonInvasiveFatalECG_Thorax2, PRDC_BASE: 0.581425, RECOMPRESSION: 0.555216, ORIGINAL_NMD: 0.636641, WEIGHTING_NMD: 0.602545
Plane, PRDC_BASE: 0.867619, RECOMPRESSION: 0.80381, ORIGINAL_NMD: 0.914286, WEIGHTING_NMD: 0.92381
ECG5000, ERROR, ORIGINAL_NMD: 0.899333, WEIGHTING_NMD: 0.904444
SmallKitchenAppliances, PRDC_BASE: 0.553333, RECOMPRESSION: 0.5744, ORIGINAL_NMD: 0.52, WEIGHTING_NMD: 0.525333
TwoLeadECG, PRDC_BASE: 0.706409, RECOMPRESSION: 0.797717, ORIGINAL_NMD: 0.825285, WEIGHTING_NMD: 0.816506
Lighting7, PRDC_BASE: 0.434247, RECOMPRESSION: 0.571233, ORIGINAL_NMD: 0.575342, WEIGHTING_NMD: 0.520548
Cricket_X, PRDC_BASE: 0.33359, RECOMPRESSION: 0.333333, ORIGINAL_NMD: 0.369231, WEIGHTING_NMD: 0.364103
WordsSynonyms, ERROR, ORIGINAL_NMD: 0.332288, WEIGHTING_NMD: 0.332288
Coffee, PRDC_BASE: 0.564286, RECOMPRESSION: 0.610714, ORIGINAL_NMD: 0.75, WEIGHTING_NMD: 0.678571
Symbols, PRDC_BASE: 0.546633, RECOMPRESSION: 0.664724, ORIGINAL_NMD: 0.632161, WEIGHTING_NMD: 0.655276
BirdChicken, PRDC_BASE: 0.72, RECOMPRESSION: 0.745, ORIGINAL_NMD: 0.75, WEIGHTING_NMD: 0.7
MiddlePhalanxOutlineCorrect, PRDC_BASE: 0.541833, RECOMPRESSION: 0.550167, ORIGINAL_NMD: 0.608333, WEIGHTING_NMD: 0.625
ProximalPhalanxOutlineCorrect, PRDC_BASE: 0.703436, RECOMPRESSION: 0.698282, ORIGINAL_NMD: 0.756014, WEIGHTING_NMD: 0.756014
ToeSegmentation1, PRDC_BASE: 0.656579, RECOMPRESSION: 0.690351, ORIGINAL_NMD: 0.710526, WEIGHTING_NMD: 0.75
DistalPhalanxOutlineCorrect, PRDC_BASE: 0.674667, RECOMPRESSION: 0.6625, ORIGINAL_NMD: 0.71, WEIGHTING_NMD: 0.713333
Beef, PRDC_BASE: 0.443333, RECOMPRESSION: 0.353333, ORIGINAL_NMD: 0.466667, WEIGHTING_NMD: 0.5
Cricket_Z, PRDC_BASE: 0.338205, RECOMPRESSION: 0.303333, ORIGINAL_NMD: 0.405128, WEIGHTING_NMD: 0.392308
SonyAIBORobotSurfaceII, PRDC_BASE: 0.582476, RECOMPRESSION: 0.581532, ORIGINAL_NMD: 0.666317, WEIGHTING_NMD: 0.664218
MoteStrain, PRDC_BASE: 0.63754, RECOMPRESSION: 0.666853, ORIGINAL_NMD: 0.689297, WEIGHTING_NMD: 0.734824
Car, PRDC_BASE: 0.446667, RECOMPRESSION: 0.416667, ORIGINAL_NMD: 0.5, WEIGHTING_NMD: 0.666667
InsectWingbeatSound, PRDC_BASE: 0.154747, RECOMPRESSION: 0.16404, ORIGINAL_NMD: 0.174242, WEIGHTING_NMD: 0.181313
ChlorineConcentration, PRDC_BASE: 0.511615, RECOMPRESSION: 0.506797, ORIGINAL_NMD: 0.519531, WEIGHTING_NMD: 0.515104
DistalPhalanxTW, PRDC_BASE: 0.6895, RECOMPRESSION: 0.70575, ORIGINAL_NMD: 0.7225, WEIGHTING_NMD: 0.735
uWaveGestureLibrary_Z, PRDC_BASE: 0.33445, RECOMPRESSION: 0.345924, ORIGINAL_NMD: 0.397543, WEIGHTING_NMD: 0.396427
Haptics, PRDC_BASE: 0.236039, RECOMPRESSION: 0.222078, ORIGINAL_NMD: 0.233766, WEIGHTING_NMD: 0.25
ProximalPhalanxOutlineAgeGroup, PRDC_BASE: 0.73122, RECOMPRESSION: 0.750244, ORIGINAL_NMD: 0.804878, WEIGHTING_NMD: 0.790244
FaceFour, PRDC_BASE: 0.481818, RECOMPRESSION: 0.456818, ORIGINAL_NMD: 0.363636, WEIGHTING_NMD: 0.409091
Earthquakes, PRDC_BASE: 0.701553, RECOMPRESSION: 0.708385, ORIGINAL_NMD: 0.704969, WEIGHTING_NMD: 0.708075
Ham, PRDC_BASE: 0.532381, RECOMPRESSION: 0.502857, ORIGINAL_NMD: 0.4, WEIGHTING_NMD: 0.419048
Gun_Point, PRDC_BASE: 0.825333, RECOMPRESSION: 0.808667, ORIGINAL_NMD: 0.793333, WEIGHTING_NMD: 0.833333
Cricket_Y, PRDC_BASE: 0.285128, RECOMPRESSION: 0.318462, ORIGINAL_NMD: 0.371795, WEIGHTING_NMD: 0.348718
Two_Patterns, PRDC_BASE: 0.25725, RECOMPRESSION: 0.265975, ORIGINAL_NMD: 0.38525, WEIGHTING_NMD: 0.406
yoga, PRDC_BASE: 0.589233, RECOMPRESSION: 0.5947, ORIGINAL_NMD: 0.719333, WEIGHTING_NMD: 0.735333
DistalPhalanxOutlineAgeGroup, PRDC_BASE: 0.7495, RECOMPRESSION: 0.727, ORIGINAL_NMD: 0.7625, WEIGHTING_NMD: 0.7775
Computers, PRDC_BASE: 0.622, RECOMPRESSION: 0.612, ORIGINAL_NMD: 0.62, WEIGHTING_NMD: 0.64
ECGFiveDays, PRDC_BASE: 0.661208, RECOMPRESSION: 0.670732, ORIGINAL_NMD: 0.743322, WEIGHTING_NMD: 0.75029
Herring, PRDC_BASE: 0.51875, RECOMPRESSION: 0.465625, ORIGINAL_NMD: 0.5625, WEIGHTING_NMD: 0.625
DiatomSizeReduction, ERROR, ORIGINAL_NMD: 0.781046, WEIGHTING_NMD: 0.77451
ECG200, PRDC_BASE: 0.667, RECOMPRESSION: 0.699, ORIGINAL_NMD: 0.69, WEIGHTING_NMD: 0.67
PhalangesOutlinesCorrect, PRDC_BASE: 0.637063, RECOMPRESSION: 0.615851, ORIGINAL_NMD: 0.63986, WEIGHTING_NMD: 0.658508
ShapeletSim, PRDC_BASE: 0.506111, RECOMPRESSION: 0.508889, ORIGINAL_NMD: 0.661111, WEIGHTING_NMD: 0.677778
Trace, PRDC_BASE: 0.864, RECOMPRESSION: 0.853, ORIGINAL_NMD: 0.9, WEIGHTING_NMD: 0.9
ElectricDevices, PRDC_BASE: 0.550058, RECOMPRESSION: 0.577811, ORIGINAL_NMD: 0.588899, WEIGHTING_NMD: 0.582544
LargeKitchenAppliances, PRDC_BASE: 0.664267, RECOMPRESSION: 0.645333, ORIGINAL_NMD: 0.728, WEIGHTING_NMD: 0.698667
SonyAIBORobotSurface, PRDC_BASE: 0.751414, RECOMPRESSION: 0.696173, ORIGINAL_NMD: 0.622296, WEIGHTING_NMD: 0.630616
MiddlePhalanxTW, PRDC_BASE: 0.56391, RECOMPRESSION: 0.557644, ORIGINAL_NMD: 0.533835, WEIGHTING_NMD: 0.546366
uWaveGestureLibrary_Y, PRDC_BASE: 0.27038, RECOMPRESSION: 0.290955, ORIGINAL_NMD: 0.319375, WEIGHTING_NMD: 0.323841
InlineSkate, PRDC_BASE: 0.265818, RECOMPRESSION: 0.263091, ORIGINAL_NMD: 0.32, WEIGHTING_NMD: 0.323636
CBF, PRDC_BASE: 0.640444, RECOMPRESSION: 0.647444, ORIGINAL_NMD: 0.665556, WEIGHTING_NMD: 0.653333
Strawberry, PRDC_BASE: 0.686623, RECOMPRESSION: 0.692659, ORIGINAL_NMD: 0.861338, WEIGHTING_NMD: 0.869494
Adiac, PRDC_BASE: 0.504348, RECOMPRESSION: 0.317903, ORIGINAL_NMD: 0.396419, WEIGHTING_NMD: 0.409207
uWaveGestureLibrary_X, PRDC_BASE: 0.314768, RECOMPRESSION: 0.341178, ORIGINAL_NMD: 0.342267, WEIGHTING_NMD: 0.334729
Wine, PRDC_BASE: 0.481481, RECOMPRESSION: 0.481481, ORIGINAL_NMD: 0.5, WEIGHTING_NMD: 0.462963
FISH, PRDC_BASE: 0.224571, RECOMPRESSION: 0.228, ORIGINAL_NMD: 0.337143, WEIGHTING_NMD: 0.342857
FordB, PRDC_BASE: 0.605061, RECOMPRESSION: 0.615732, ORIGINAL_NMD: 0.558581, WEIGHTING_NMD: 0.54593
UWaveGestureLibraryAll, PRDC_BASE: 0.257342, RECOMPRESSION: 0.293914, ORIGINAL_NMD: 0.310162, WEIGHTING_NMD: 0.30737
ArrowHead, PRDC_BASE: 0.556571, RECOMPRESSION: 0.523429, ORIGINAL_NMD: 0.548571, WEIGHTING_NMD: 0.582857
FordA, PRDC_BASE: 0.621494, RECOMPRESSION: 0.65043, ORIGINAL_NMD: 0.616773, WEIGHTING_NMD: 0.617329
Worms, PRDC_BASE: 0.38011, RECOMPRESSION: 0.369613, ORIGINAL_NMD: 0.458564, WEIGHTING_NMD: 0.464088
RefrigerationDevices, PRDC_BASE: 0.429867, RECOMPRESSION: 0.4568, ORIGINAL_NMD: 0.466667, WEIGHTING_NMD: 0.472
ShapesAll, PRDC_BASE: 0.523, RECOMPRESSION: 0.5125, ORIGINAL_NMD: 0.531667, WEIGHTING_NMD: 0.586667
OliveOil, PRDC_BASE: 0.626667, RECOMPRESSION: 0.656667, ORIGINAL_NMD: 0.8, WEIGHTING_NMD: 0.8
wafer, PRDC_BASE: 0.95331, RECOMPRESSION: 0.958858, ORIGINAL_NMD: 0.975016, WEIGHTING_NMD: 0.975665
MALLAT, ERROR, ORIGINAL_NMD: 0.753945, WEIGHTING_NMD: 0.750959
SwedishLeaf, PRDC_BASE: 0.64032, RECOMPRESSION: 0.61104, ORIGINAL_NMD: 0.6048, WEIGHTING_NMD: 0.6544
ItalyPowerDemand, PRDC_BASE: 0.643635, RECOMPRESSION: 0.66482, ORIGINAL_NMD: 0.746356, WEIGHTING_NMD: 0.744412
Phoneme, ERROR, ORIGINAL_NMD: 0.188291, WEIGHTING_NMD: 0.184599
ScreenType, PRDC_BASE: 0.405067, RECOMPRESSION: 0.378933, ORIGINAL_NMD: 0.370667, WEIGHTING_NMD: 0.36
Lighting2, PRDC_BASE: 0.637705, RECOMPRESSION: 0.647541, ORIGINAL_NMD: 0.737705, WEIGHTING_NMD: 0.721311
HandOutlines, PRDC_BASE: 0.649, RECOMPRESSION: 0.637, ORIGINAL_NMD: 0.649, WEIGHTING_NMD: 0.688
ToeSegmentation2, PRDC_BASE: 0.747692, RECOMPRESSION: 0.756923, ORIGINAL_NMD: 0.761538, WEIGHTING_NMD: 0.792308
CinC_ECG_torso, PRDC_BASE: 0.447464, RECOMPRESSION: 0.477609, ORIGINAL_NMD: 0.558696, WEIGHTING_NMD: 0.553623
MedicalImages, PRDC_BASE: 0.464474, RECOMPRESSION: 0.461316, ORIGINAL_NMD: 0.515789, WEIGHTING_NMD: 0.509211
synthetic_control, PRDC_BASE: 0.404333, RECOMPRESSION: 0.389, ORIGINAL_NMD: 0.45, WEIGHTING_NMD: 0.446667
OSULeaf, PRDC_BASE: 0.483058, RECOMPRESSION: 0.463636, ORIGINAL_NMD: 0.516529, WEIGHTING_NMD: 0.528926
BeetleFly, PRDC_BASE: 0.725, RECOMPRESSION: 0.73, ORIGINAL_NMD: 0.85, WEIGHTING_NMD: 0.85
