ProximalPhalanxOutlineAgeGroup,Euclidean: 0.824390243902,PRDC_BASE: 0.795122,RECOMPRESSION: 0.814634,ORIGINAL_NMD: 0.829268,WEIGHTING_NMD: 0.843902
FaceFour,Euclidean: 0.522727272727,PRDC_BASE: 0.420455,RECOMPRESSION: 0.409091,ORIGINAL_NMD: 0.511364,WEIGHTING_NMD: 0.511364
Earthquakes,Euclidean: 0.785714285714,PRDC_BASE: 0.751553,RECOMPRESSION: 0.779503,ORIGINAL_NMD: 0.779503,WEIGHTING_NMD: 0.791925
Ham,Euclidean: 0.628571428571,PRDC_BASE: 0.638095,RECOMPRESSION: 0.47619,ORIGINAL_NMD: 0.533333,WEIGHTING_NMD: 0.514286
Gun_Point,Euclidean: 0.8,PRDC_BASE: 0.706667,RECOMPRESSION: 0.8,ORIGINAL_NMD: 0.906667,WEIGHTING_NMD: 0.886667
Cricket_Y,Euclidean: 0.502564102564,PRDC_BASE: 0.4,RECOMPRESSION: 0.410256,ORIGINAL_NMD: 0.415385,WEIGHTING_NMD: 0.435897
Two_Patterns,Euclidean: 0.825,PRDC_BASE: 0.26675,RECOMPRESSION: 0.27925,ORIGINAL_NMD: 0.2935,WEIGHTING_NMD: 0.32025
yoga,Euclidean: 0.756333333333,PRDC_BASE: 0.574,RECOMPRESSION: 0.606,ORIGINAL_NMD: 0.71,WEIGHTING_NMD: 0.713
DistalPhalanxOutlineAgeGroup,Euclidean: 0.7975,PRDC_BASE: 0.635,RECOMPRESSION: 0.775,ORIGINAL_NMD: 0.7825,WEIGHTING_NMD: 0.8
Computers,Euclidean: 0.604,PRDC_BASE: 0.664,RECOMPRESSION: 0.648,ORIGINAL_NMD: 0.696,WEIGHTING_NMD: 0.668
ECGFiveDays,Euclidean: 0.612078977933,PRDC_BASE: 0.558653,RECOMPRESSION: 0.570267,ORIGINAL_NMD: 0.626016,WEIGHTING_NMD: 0.680604
Herring,Euclidean: 0.515625,PRDC_BASE: 0.546875,RECOMPRESSION: 0.625,ORIGINAL_NMD: 0.609375,WEIGHTING_NMD: 0.546875
ECG200,Euclidean: 0.9,PRDC_BASE: 0.6,RECOMPRESSION: 0.68,ORIGINAL_NMD: 0.73,WEIGHTING_NMD: 0.67
PhalangesOutlinesCorrect,Euclidean: 0.778554778555,PRDC_BASE: 0.609557,RECOMPRESSION: 0.604895,ORIGINAL_NMD: 0.680653,WEIGHTING_NMD: 0.689977
ShapeletSim,Euclidean: 0.544444444444,PRDC_BASE: 0.572222,RECOMPRESSION: 0.588889,ORIGINAL_NMD: 0.622222,WEIGHTING_NMD: 0.633333
Trace,Euclidean: 0.54,PRDC_BASE: 0.71,RECOMPRESSION: 0.75,ORIGINAL_NMD: 0.8,WEIGHTING_NMD: 0.76
ElectricDevices,Euclidean: 0.58397095059,PRDC_BASE: 0.464272,RECOMPRESSION: 0.603942,ORIGINAL_NMD: 0.652445,WEIGHTING_NMD: 0.642199
LargeKitchenAppliances,Euclidean: 0.456,PRDC_BASE: 0.685333,RECOMPRESSION: 0.608,ORIGINAL_NMD: 0.757333,WEIGHTING_NMD: 0.749333
SonyAIBORobotSurface,Euclidean: 0.46921797005,PRDC_BASE: 0.414309,RECOMPRESSION: 0.43594,ORIGINAL_NMD: 0.467554,WEIGHTING_NMD: 0.454243
MiddlePhalanxTW,Euclidean: 0.621553884712,PRDC_BASE: 0.546366,RECOMPRESSION: 0.591479,ORIGINAL_NMD: 0.568922,WEIGHTING_NMD: 0.573935
uWaveGestureLibrary_Y,Euclidean: 0.663595756561,PRDC_BASE: 0.37828,RECOMPRESSION: 0.424344,ORIGINAL_NMD: 0.501675,WEIGHTING_NMD: 0.495533
InlineSkate,Euclidean: 0.225454545455,PRDC_BASE: 0.234545,RECOMPRESSION: 0.270909,ORIGINAL_NMD: 0.316364,WEIGHTING_NMD: 0.296364
CBF,Euclidean: 0.766666666667,PRDC_BASE: 0.505556,RECOMPRESSION: 0.547778,ORIGINAL_NMD: 0.62,WEIGHTING_NMD: 0.633333
Strawberry,Euclidean: 0.923327895595,PRDC_BASE: 0.783034,RECOMPRESSION: 0.796085,ORIGINAL_NMD: 0.884176,WEIGHTING_NMD: 0.887439
Adiac,Euclidean: 0.521739130435,PRDC_BASE: 0.419437,RECOMPRESSION: 0.363171,ORIGINAL_NMD: 0.404092,WEIGHTING_NMD: 0.432225
uWaveGestureLibrary_X,Euclidean: 0.728922389726,PRDC_BASE: 0.420994,RECOMPRESSION: 0.482133,ORIGINAL_NMD: 0.580681,WEIGHTING_NMD: 0.586265
Wine,Euclidean: 0.537037037037,PRDC_BASE: 0.518519,RECOMPRESSION: 0.555556,ORIGINAL_NMD: 0.5,WEIGHTING_NMD: 0.5
FISH,Euclidean: 0.72,PRDC_BASE: 0.405714,RECOMPRESSION: 0.285714,ORIGINAL_NMD: 0.605714,WEIGHTING_NMD: 0.662857
FordB,Euclidean: 0.583333333333,PRDC_BASE: 0.615237,RECOMPRESSION: 0.640814,ORIGINAL_NMD: 0.514576,WEIGHTING_NMD: 0.512651
UWaveGestureLibraryAll,Euclidean: 0.938860971524,PRDC_BASE: 0.349525,RECOMPRESSION: 0.384422,ORIGINAL_NMD: 0.529313,WEIGHTING_NMD: 0.528197
ArrowHead,Euclidean: 0.668571428571,PRDC_BASE: 0.628571,RECOMPRESSION: 0.594286,ORIGINAL_NMD: 0.554286,WEIGHTING_NMD: 0.554286
