ItalyPowerDemand, ORIGINAL_NMD: 0.728863, WEIGHTING_NMD: 0.735666
Phoneme, ORIGINAL_NMD: 0.19673, WEIGHTING_NMD: 0.206224
ScreenType, ORIGINAL_NMD: 0.424, WEIGHTING_NMD: 0.442667
Lighting2, ORIGINAL_NMD: 0.655738, WEIGHTING_NMD: 0.655738
HandOutlines, ORIGINAL_NMD: 0.666, WEIGHTING_NMD: 0.682
ToeSegmentation2, ORIGINAL_NMD: 0.861538, WEIGHTING_NMD: 0.876923
CinC_ECG_torso, ORIGINAL_NMD: 0.605072, WEIGHTING_NMD: 0.594203
MedicalImages, ORIGINAL_NMD: 0.568421, WEIGHTING_NMD: 0.551316
synthetic_control, ORIGINAL_NMD: 0.306667, WEIGHTING_NMD: 0.316667
OSULeaf, ORIGINAL_NMD: 0.53719, WEIGHTING_NMD: 0.541322
BeetleFly, ORIGINAL_NMD: 0.8, WEIGHTING_NMD: 0.9
FaceAll, ORIGINAL_NMD: 0.325444, WEIGHTING_NMD: 0.370414
50words, ORIGINAL_NMD: 0.320879, WEIGHTING_NMD: 0.327473
ProximalPhalanxTW, ORIGINAL_NMD: 0.6775, WEIGHTING_NMD: 0.6925
